Event Type,Count
Tutorial,9539
Lecture,6777
Workshop,3295
Practical,2749
Seminar,2640
Laboratory,1457
Activity,737
Computer Workshop,541
Jointly Taught Seminar,407
ECA Studio,395
Oral Presentation,365
Seminar set 1,342
Oral Tutorial,333
Discussion Workshop,275
Breakout,262
Q&A Session,190
Language Tutorial,179
Reminder,171
EXAM,144
Meeting,129
Class Test,128
Presentation,114
Groupwork,105
Fieldwork,103
Self Study,99
Other,76
Feedback,70
Language Tutorial (S2),65
Lecture_&_Workshops,64
Review,62
Seminar set 2,58
External Visit,56
Literature Tutorial,56
Jointly Taught Meeting,56
Oral Tutorial (S2),45
Seminar set 3,37
Jointly Taught Oral Tutorial,34
Literature Tutorial (S2),31
Writing Tutorial,31
Translation Tutorial,30
Reading and Writing Tutorial,28
Grammar Tutorial,25
Seminar (S2),24
Language Tutorial Set 1,22
First Class,21
Jointly Taught Oral Tutorial (S2),18
Written Language Tutorial (S2),17
Grammar Tutorial (S2),16
Class Test set 1,15
Language Tutorial Set 1 (S2),15
Film Screening,15
Translation Tutorial (S2),14
Revision,14
Oral Tutorial Set 1 (S2),13
Jointly Taught Seminar set 1,13
Written Language Tutorial,13
ECA Crit,12
Writing Tutorial (S2),12
Listening Tutorial,11
Workbook Tutorial,11
PALS,11
Class Test (S2),10
NPCR 1 Tutorial,10
Placement,10
Examples Class,9
Induction,9
Presentation Set 1,8
NPCR 1 Tutorial (S2),7
Poster Session,7
Jointly Taught Class Test,7
Reading Tutorial,6
Language Application Tutorial,6
NPCR 3 Tutorial (S2),5
Reading Tutorial (S2),5
NPCR 3 Tutorial,5
NPCR 2 Tutorial (S2),5
Jointly Taught Language Tutorial,5
NPCR 2 Tutorial,5
Listening Tutorial (S2),5
Grammar Tutorial Set 1,5
Composition Tutorial (S2),3
Reading and Writing Tutorial (S2),3
Composition Tutorial,3
Seminar set 2 (S2),2
Grammar 4 Tutorial (S2),2
Writing Tutorial Set 1 (S2),2
Seminar set 1 (S2),2
Grammar 1 Tutorial (S2),2
Tutorial (S2),2
Reading and Composition Tutorial (S2),2
Grammar 1 Tutorial,2
Grammar 4 Tutorial,2
Grammar 2 Tutorial (S2),2
Grammar 3 Tutorial (S2),2
Grammar 3 Tutorial,2
Reading and Composition Tutorial,2
Writing Tutorial Set 2 (S2),2
Grammar 2 Tutorial,2
Project,1
Jointly Taught Revision Set 1,1
